Dataset,Algorithm,K,ef,Recall,TimePerQuery(ms)
mnist-784-euclidean,HNSWPQ_2,10,1000,0.97756,3.48323
mnist-784-euclidean,HNSWSQ_8,10,10,0.92459,0.067725
mnist-784-euclidean,HNSWSQ_8,10,20,0.97285,0.0985048
mnist-784-euclidean,HNSWSQ_8,10,40,0.98724,0.153456
mnist-784-euclidean,HNSWSQ_8,10,80,0.99052,0.248396
mnist-784-euclidean,HNSWSQ_8,10,120,0.9909,0.333995
mnist-784-euclidean,HNSWSQ_8,10,200,0.99123,0.495883
mnist-784-euclidean,HNSWSQ_8,10,400,0.99142,0.877914
mnist-784-euclidean,HNSWSQ_8,10,600,0.99146,1.24898
mnist-784-euclidean,HNSWSQ_8,10,800,0.99147,2.20818
mnist-784-euclidean,HNSWSQ_8,10,1000,0.99149,3.24838
sift-128-euclidean,HNSWPQ_1,10,10,0.72068,0.272225
sift-128-euclidean,HNSWPQ_1,10,20,0.84951,0.342936
sift-128-euclidean,HNSWPQ_1,10,40,0.93363,0.484551
sift-128-euclidean,HNSWPQ_1,10,80,0.97465,0.780522
sift-128-euclidean,HNSWPQ_1,10,120,0.98472,1.04662
sift-128-euclidean,HNSWPQ_1,10,200,0.99043,1.62691
sift-128-euclidean,HNSWPQ_1,10,400,0.99271,2.87531
sift-128-euclidean,HNSWPQ_1,10,600,0.99306,4.0326
sift-128-euclidean,HNSWPQ_1,10,800,0.99309,5.25271
sift-128-euclidean,HNSWPQ_1,10,1000,0.99311,6.52141
sift-128-euclidean,HNSWPQ_2,10,10,0.68641,0.175387
sift-128-euclidean,HNSWPQ_2,10,20,0.78461,0.238875
sift-128-euclidean,HNSWPQ_2,10,40,0.84107,0.355075
sift-128-euclidean,HNSWPQ_2,10,80,0.86547,0.59203
sift-128-euclidean,HNSWPQ_2,10,120,0.87039,0.811264
sift-128-euclidean,HNSWPQ_2,10,200,0.8732,1.29177
sift-128-euclidean,HNSWPQ_2,10,400,0.87429,2.35363
sift-128-euclidean,HNSWPQ_2,10,600,0.87441,3.31338
sift-128-euclidean,HNSWPQ_2,10,800,0.87445,4.35543
sift-128-euclidean,HNSWPQ_2,10,1000,0.87443,5.44496
sift-128-euclidean,HNSWSQ_8,10,10,0.72108,0.0874458
sift-128-euclidean,HNSWSQ_8,10,20,0.8473,0.139842
sift-128-euclidean,HNSWSQ_8,10,40,0.92922,0.234485
sift-128-euclidean,HNSWSQ_8,10,80,0.96926,0.415877
sift-128-euclidean,HNSWSQ_8,10,120,0.97912,0.601342
sift-128-euclidean,HNSWSQ_8,10,200,0.98417,0.982657
sift-128-euclidean,HNSWSQ_8,10,400,0.98647,1.89634
sift-128-euclidean,HNSWSQ_8,10,600,0.98669,2.68653
sift-128-euclidean,HNSWSQ_8,10,800,0.98674,3.59788
sift-128-euclidean,HNSWSQ_8,10,1000,0.98675,4.63569
