Dataset,Algorithm,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,HNSWSQ_8,10,800,0.98199,1.56112
fashion-mnist-784-euclidean,HNSWSQ_8,10,1000,0.98199,1.93776
gist-960-euclidean,HNSWPQ_4,10,10,0.3826,0.430858
gist-960-euclidean,HNSWPQ_4,10,20,0.4908,0.541066
gist-960-euclidean,HNSWPQ_4,10,40,0.5866,0.748647
gist-960-euclidean,HNSWPQ_4,10,80,0.6522,1.12646
gist-960-euclidean,HNSWPQ_4,10,120,0.6805,1.49848
gist-960-euclidean,HNSWPQ_4,10,200,0.7022,2.23844
gist-960-euclidean,HNSWPQ_4,10,400,0.7192,3.93712
gist-960-euclidean,HNSWPQ_4,10,600,0.725,5.45325
gist-960-euclidean,HNSWPQ_4,10,800,0.7277,7.16683
gist-960-euclidean,HNSWPQ_4,10,1000,0.7289,9.02819
gist-960-euclidean,HNSWPQ_8,10,10,0.2639,0.25736
gist-960-euclidean,HNSWPQ_8,10,20,0.3365,0.316176
gist-960-euclidean,HNSWPQ_8,10,40,0.4045,0.428686
gist-960-euclidean,HNSWPQ_8,10,80,0.4465,0.637674
gist-960-euclidean,HNSWPQ_8,10,120,0.4631,0.833736
gist-960-euclidean,HNSWPQ_8,10,200,0.4761,1.23208
gist-960-euclidean,HNSWPQ_8,10,400,0.4876,2.2154
gist-960-euclidean,HNSWPQ_8,10,600,0.4904,3.13046
gist-960-euclidean,HNSWPQ_8,10,800,0.493,4.20763
gist-960-euclidean,HNSWPQ_8,10,1000,0.4933,5.21051
gist-960-euclidean,HNSWSQ_8,10,10,0.4204,0.265803
gist-960-euclidean,HNSWSQ_8,10,20,0.5562,0.411193
gist-960-euclidean,HNSWSQ_8,10,40,0.6885,0.672014
gist-960-euclidean,HNSWSQ_8,10,80,0.7988,1.16512
gist-960-euclidean,HNSWSQ_8,10,120,0.8465,1.64469
gist-960-euclidean,HNSWSQ_8,10,200,0.8951,2.59238
gist-960-euclidean,HNSWSQ_8,10,400,0.9352,4.75765
gist-960-euclidean,HNSWSQ_8,10,600,0.9476,6.7487
gist-960-euclidean,HNSWSQ_8,10,800,0.9544,8.68003
gist-960-euclidean,HNSWSQ_8,10,1000,0.9575,10.7154
mnist-784-euclidean,HNSWPQ_4,10,10,0.88776,0.235585
mnist-784-euclidean,HNSWPQ_4,10,20,0.92464,0.261681
mnist-784-euclidean,HNSWPQ_4,10,40,0.93455,0.307736
mnist-784-euclidean,HNSWPQ_4,10,80,0.93683,0.398049
mnist-784-euclidean,HNSWPQ_4,10,120,0.93718,0.457121
mnist-784-euclidean,HNSWPQ_4,10,200,0.93738,0.612714
mnist-784-euclidean,HNSWPQ_4,10,400,0.93747,0.91892
mnist-784-euclidean,HNSWPQ_4,10,600,0.93748,1.25322
mnist-784-euclidean,HNSWPQ_4,10,800,0.93751,1.63207
mnist-784-euclidean,HNSWPQ_4,10,1000,0.93752,1.96251
mnist-784-euclidean,HNSWPQ_8,10,10,0.842,0.144926
mnist-784-euclidean,HNSWPQ_8,10,20,0.87129,0.16074
mnist-784-euclidean,HNSWPQ_8,10,40,0.87934,0.185296
mnist-784-euclidean,HNSWPQ_8,10,80,0.88106,0.236295
mnist-784-euclidean,HNSWPQ_8,10,120,0.88143,0.287851
mnist-784-euclidean,HNSWPQ_8,10,200,0.88157,0.360031
mnist-784-euclidean,HNSWPQ_8,10,400,0.88161,0.575422
mnist-784-euclidean,HNSWPQ_8,10,600,0.88164,0.821828
mnist-784-euclidean,HNSWPQ_8,10,800,0.88166,1.08756
mnist-784-euclidean,HNSWPQ_8,10,1000,0.88167,1.39853
mnist-784-euclidean,HNSWSQ_8,10,10,0.92459,0.0761548
mnist-784-euclidean,HNSWSQ_8,10,20,0.97285,0.111461
mnist-784-euclidean,HNSWSQ_8,10,40,0.98724,0.175113
mnist-784-euclidean,HNSWSQ_8,10,80,0.99052,0.287511
mnist-784-euclidean,HNSWSQ_8,10,120,0.9909,0.346258
mnist-784-euclidean,HNSWSQ_8,10,200,0.99123,0.522766
mnist-784-euclidean,HNSWSQ_8,10,400,0.99142,0.93435
mnist-784-euclidean,HNSWSQ_8,10,600,0.99146,1.29989
mnist-784-euclidean,HNSWSQ_8,10,800,0.99147,1.76436
mnist-784-euclidean,HNSWSQ_8,10,1000,0.99149,2.26012
sift-128-euclidean,HNSWPQ_4,10,10,0.58812,0.0864217
sift-128-euclidean,HNSWPQ_4,10,20,0.65706,0.118961
sift-128-euclidean,HNSWPQ_4,10,40,0.69352,0.181663
sift-128-euclidean,HNSWPQ_4,10,80,0.7087,0.311541
sift-128-euclidean,HNSWPQ_4,10,120,0.71207,0.434109
sift-128-euclidean,HNSWPQ_4,10,200,0.71339,0.696386
sift-128-euclidean,HNSWPQ_4,10,400,0.71406,1.41414
sift-128-euclidean,HNSWPQ_4,10,600,0.71415,1.99409
sift-128-euclidean,HNSWPQ_4,10,800,0.71417,2.72447
sift-128-euclidean,HNSWPQ_4,10,1000,0.71417,3.52664
sift-128-euclidean,HNSWPQ_8,10,10,0.46226,0.0605426
sift-128-euclidean,HNSWPQ_8,10,20,0.51217,0.0850888
sift-128-euclidean,HNSWPQ_8,10,40,0.53686,0.130603
sift-128-euclidean,HNSWPQ_8,10,80,0.54608,0.230691
sift-128-euclidean,HNSWPQ_8,10,120,0.5481,0.322645
sift-128-euclidean,HNSWPQ_8,10,200,0.54908,0.561851
sift-128-euclidean,HNSWPQ_8,10,400,0.54923,1.04441
sift-128-euclidean,HNSWPQ_8,10,600,0.54916,1.54388
sift-128-euclidean,HNSWPQ_8,10,800,0.54909,2.13592
sift-128-euclidean,HNSWPQ_8,10,1000,0.54911,2.84383
sift-128-euclidean,HNSWSQ_8,10,10,0.72108,0.072092
sift-128-euclidean,HNSWSQ_8,10,20,0.8473,0.118487
sift-128-euclidean,HNSWSQ_8,10,40,0.92922,0.200508
sift-128-euclidean,HNSWSQ_8,10,80,0.96926,0.368223
sift-128-euclidean,HNSWSQ_8,10,120,0.97912,0.53351
sift-128-euclidean,HNSWSQ_8,10,200,0.98417,0.857203
sift-128-euclidean,HNSWSQ_8,10,400,0.98647,1.6302
sift-128-euclidean,HNSWSQ_8,10,600,0.98669,2.36476
sift-128-euclidean,HNSWSQ_8,10,800,0.98674,3.18062
sift-128-euclidean,HNSWSQ_8,10,1000,0.98675,4.00148
