Dataset,Strategy,BinCenter,BinCount
gist-960-euclidean,IntraVector,0.365450,23587
gist-960-euclidean,IntraVector,0.394686,14178
gist-960-euclidean,IntraVector,0.423922,8873
gist-960-euclidean,IntraVector,0.453158,5759
gist-960-euclidean,IntraVector,0.482394,3631
gist-960-euclidean,IntraVector,0.511630,2491
gist-960-euclidean,IntraVector,0.540866,1595
gist-960-euclidean,IntraVector,0.570102,1044
gist-960-euclidean,IntraVector,0.599338,711
gist-960-euclidean,IntraVector,0.628574,471
gist-960-euclidean,IntraVector,0.657810,295
gist-960-euclidean,IntraVector,0.687046,195
gist-960-euclidean,IntraVector,0.716282,164
gist-960-euclidean,IntraVector,0.745518,102
gist-960-euclidean,IntraVector,0.774754,53
gist-960-euclidean,IntraVector,0.803990,44
gist-960-euclidean,IntraVector,0.833226,22
gist-960-euclidean,IntraVector,0.862462,20
gist-960-euclidean,IntraVector,0.891698,10
gist-960-euclidean,IntraVector,0.920934,6
gist-960-euclidean,IntraVector,0.950170,5
gist-960-euclidean,IntraVector,0.979406,2
gist-960-euclidean,IntraVector,1.008642,0
gist-960-euclidean,IntraVector,1.037878,2
gist-960-euclidean,IntraVector,1.067114,3
gist-960-euclidean,IntraVector,1.096350,0
gist-960-euclidean,IntraVector,1.125586,0
gist-960-euclidean,IntraVector,1.154822,0
gist-960-euclidean,IntraVector,1.184058,0
gist-960-euclidean,IntraVector,1.213294,0
gist-960-euclidean,IntraVector,1.242530,0
gist-960-euclidean,IntraVector,1.271766,0
gist-960-euclidean,IntraVector,1.301002,0
gist-960-euclidean,IntraVector,1.330238,0
gist-960-euclidean,IntraVector,1.359474,0
gist-960-euclidean,IntraVector,1.388710,0
gist-960-euclidean,IntraVector,1.417946,0
gist-960-euclidean,IntraVector,1.447182,0
gist-960-euclidean,IDOrder,-1.447182,1
gist-960-euclidean,IDOrder,-1.417946,0
gist-960-euclidean,IDOrder,-1.388710,1
gist-960-euclidean,IDOrder,-1.359474,1
gist-960-euclidean,IDOrder,-1.330238,2
gist-960-euclidean,IDOrder,-1.301002,1
gist-960-euclidean,IDOrder,-1.271766,4
gist-960-euclidean,IDOrder,-1.242530,10
gist-960-euclidean,IDOrder,-1.213294,6
gist-960-euclidean,IDOrder,-1.184058,5
gist-960-euclidean,IDOrder,-1.154822,7
gist-960-euclidean,IDOrder,-1.125586,8
gist-960-euclidean,IDOrder,-1.096350,19
gist-960-euclidean,IDOrder,-1.067114,26
gist-960-euclidean,IDOrder,-1.037878,33
gist-960-euclidean,IDOrder,-1.008642,49
gist-960-euclidean,IDOrder,-0.979406,84
gist-960-euclidean,IDOrder,-0.950170,100
gist-960-euclidean,IDOrder,-0.920934,120
gist-960-euclidean,IDOrder,-0.891698,181
gist-960-euclidean,IDOrder,-0.862462,239
gist-960-euclidean,IDOrder,-0.833226,326
gist-960-euclidean,IDOrder,-0.803990,512
gist-960-euclidean,IDOrder,-0.774754,708
gist-960-euclidean,IDOrder,-0.745518,921
gist-960-euclidean,IDOrder,-0.716282,1246
gist-960-euclidean,IDOrder,-0.687046,1816
gist-960-euclidean,IDOrder,-0.657810,2433
gist-960-euclidean,IDOrder,-0.628574,3417
gist-960-euclidean,IDOrder,-0.599338,4691
gist-960-euclidean,IDOrder,-0.570102,6830
gist-960-euclidean,IDOrder,-0.540866,9696
gist-960-euclidean,IDOrder,-0.511630,14011
gist-960-euclidean,IDOrder,-0.482394,20340
gist-960-euclidean,IDOrder,-0.453158,30207
gist-960-euclidean,IDOrder,-0.423922,45774
gist-960-euclidean,IDOrder,-0.394686,70545
gist-960-euclidean,IDOrder,-0.365450,110908
gist-960-euclidean,IDOrder,-0.336214,181624
gist-960-euclidean,IDOrder,-0.306978,305848
gist-960-euclidean,IDOrder,-0.277742,536079
gist-960-euclidean,IDOrder,-0.248506,973596
gist-960-euclidean,IDOrder,-0.219270,1829086
gist-960-euclidean,IDOrder,-0.190034,3589155
gist-960-euclidean,IDOrder,-0.160798,7322126
gist-960-euclidean,IDOrder,-0.131562,15255024
gist-960-euclidean,IDOrder,-0.102326,32357261
gist-960-euclidean,IDOrder,-0.073090,68047333
gist-960-euclidean,IDOrder,-0.043854,132345853
gist-960-euclidean,IDOrder,-0.014618,216501006
gist-960-euclidean,IDOrder,0.014618,217326377
gist-960-euclidean,IDOrder,0.043854,132384891
gist-960-euclidean,IDOrder,0.073090,68060608
gist-960-euclidean,IDOrder,0.102326,32361493
gist-960-euclidean,IDOrder,0.131562,15242561
gist-960-euclidean,IDOrder,0.160798,7313772
gist-960-euclidean,IDOrder,0.190034,3588054
gist-960-euclidean,IDOrder,0.219270,1830182
gist-960-euclidean,IDOrder,0.248506,974682
gist-960-euclidean,IDOrder,0.277742,534510
gist-960-euclidean,IDOrder,0.306978,305981
gist-960-euclidean,IDOrder,0.336214,181147
gist-960-euclidean,IDOrder,0.365450,111097
gist-960-euclidean,IDOrder,0.394686,70018
gist-960-euclidean,IDOrder,0.423922,45944
gist-960-euclidean,IDOrder,0.453158,30034
gist-960-euclidean,IDOrder,0.482394,20715
gist-960-euclidean,IDOrder,0.511630,14008
gist-960-euclidean,IDOrder,0.540866,9724
gist-960-euclidean,IDOrder,0.570102,6872
gist-960-euclidean,IDOrder,0.599338,4844
gist-960-euclidean,IDOrder,0.628574,3396
gist-960-euclidean,IDOrder,0.657810,2446
gist-960-euclidean,IDOrder,0.687046,1723
gist-960-euclidean,IDOrder,0.716282,1238
gist-960-euclidean,IDOrder,0.745518,935
gist-960-euclidean,IDOrder,0.774754,712
gist-960-euclidean,IDOrder,0.803990,528
gist-960-euclidean,IDOrder,0.833226,367
gist-960-euclidean,IDOrder,0.862462,226
gist-960-euclidean,IDOrder,0.891698,181
gist-960-euclidean,IDOrder,0.920934,138
gist-960-euclidean,IDOrder,0.950170,102
gist-960-euclidean,IDOrder,0.979406,84
gist-960-euclidean,IDOrder,1.008642,53
gist-960-euclidean,IDOrder,1.037878,30
gist-960-euclidean,IDOrder,1.067114,27
gist-960-euclidean,IDOrder,1.096350,15
gist-960-euclidean,IDOrder,1.125586,14
gist-960-euclidean,IDOrder,1.154822,6
gist-960-euclidean,IDOrder,1.184058,11
gist-960-euclidean,IDOrder,1.213294,7
gist-960-euclidean,IDOrder,1.242530,5
gist-960-euclidean,IDOrder,1.271766,1
gist-960-euclidean,IDOrder,1.301002,6
gist-960-euclidean,IDOrder,1.330238,0
gist-960-euclidean,IDOrder,1.359474,2
gist-960-euclidean,IDOrder,1.388710,1
gist-960-euclidean,IDOrder,1.417946,2
gist-960-euclidean,IDOrder,1.447182,1
gist-960-euclidean,GraphGuided,-1.447182,1
gist-960-euclidean,GraphGuided,-1.417946,0
gist-960-euclidean,GraphGuided,-1.388710,0
gist-960-euclidean,GraphGuided,-1.359474,1
gist-960-euclidean,GraphGuided,-1.330238,2
gist-960-euclidean,GraphGuided,-1.301002,0
gist-960-euclidean,GraphGuided,-1.271766,0
gist-960-euclidean,GraphGuided,-1.242530,2
gist-960-euclidean,GraphGuided,-1.213294,4
gist-960-euclidean,GraphGuided,-1.184058,2
gist-960-euclidean,GraphGuided,-1.154822,7
gist-960-euclidean,GraphGuided,-1.125586,4
gist-960-euclidean,GraphGuided,-1.096350,10
gist-960-euclidean,GraphGuided,-1.067114,26
gist-960-euclidean,GraphGuided,-1.037878,36
gist-960-euclidean,GraphGuided,-1.008642,31
gist-960-euclidean,GraphGuided,-0.979406,59
gist-960-euclidean,GraphGuided,-0.950170,68
gist-960-euclidean,GraphGuided,-0.920934,99
gist-960-euclidean,GraphGuided,-0.891698,147
gist-960-euclidean,GraphGuided,-0.862462,217
gist-960-euclidean,GraphGuided,-0.833226,359
gist-960-euclidean,GraphGuided,-0.803990,561
gist-960-euclidean,GraphGuided,-0.774754,773
gist-960-euclidean,GraphGuided,-0.745518,995
gist-960-euclidean,GraphGuided,-0.716282,1361
gist-960-euclidean,GraphGuided,-0.687046,1897
gist-960-euclidean,GraphGuided,-0.657810,2613
gist-960-euclidean,GraphGuided,-0.628574,3575
gist-960-euclidean,GraphGuided,-0.599338,5167
gist-960-euclidean,GraphGuided,-0.570102,7315
gist-960-euclidean,GraphGuided,-0.540866,10585
gist-960-euclidean,GraphGuided,-0.511630,15359
gist-960-euclidean,GraphGuided,-0.482394,22547
gist-960-euclidean,GraphGuided,-0.453158,33435
gist-960-euclidean,GraphGuided,-0.423922,49193
gist-960-euclidean,GraphGuided,-0.394686,76543
gist-960-euclidean,GraphGuided,-0.365450,121459
gist-960-euclidean,GraphGuided,-0.336214,198688
gist-960-euclidean,GraphGuided,-0.306978,335750
gist-960-euclidean,GraphGuided,-0.277742,591411
gist-960-euclidean,GraphGuided,-0.248506,1081734
gist-960-euclidean,GraphGuided,-0.219270,2038131
gist-960-euclidean,GraphGuided,-0.190034,3987256
gist-960-euclidean,GraphGuided,-0.160798,8115662
gist-960-euclidean,GraphGuided,-0.131562,16829778
gist-960-euclidean,GraphGuided,-0.102326,35268155
gist-960-euclidean,GraphGuided,-0.073090,72335494
gist-960-euclidean,GraphGuided,-0.043854,133916037
gist-960-euclidean,GraphGuided,-0.014618,200032877
gist-960-euclidean,GraphGuided,0.014618,200768127
gist-960-euclidean,GraphGuided,0.043854,133839849
gist-960-euclidean,GraphGuided,0.073090,72228216
gist-960-euclidean,GraphGuided,0.102326,35188235
gist-960-euclidean,GraphGuided,0.131562,16768594
gist-960-euclidean,GraphGuided,0.160798,8065656
gist-960-euclidean,GraphGuided,0.190034,3948116
gist-960-euclidean,GraphGuided,0.219270,2005506
gist-960-euclidean,GraphGuided,0.248506,1060041
gist-960-euclidean,GraphGuided,0.277742,577433
gist-960-euclidean,GraphGuided,0.306978,327562
gist-960-euclidean,GraphGuided,0.336214,194167
gist-960-euclidean,GraphGuided,0.365450,117301
gist-960-euclidean,GraphGuided,0.394686,74262
gist-960-euclidean,GraphGuided,0.423922,48235
gist-960-euclidean,GraphGuided,0.453158,31669
gist-960-euclidean,GraphGuided,0.482394,21570
gist-960-euclidean,GraphGuided,0.511630,14766
gist-960-euclidean,GraphGuided,0.540866,10078
gist-960-euclidean,GraphGuided,0.570102,7109
gist-960-euclidean,GraphGuided,0.599338,5043
gist-960-euclidean,GraphGuided,0.628574,3653
gist-960-euclidean,GraphGuided,0.657810,2622
gist-960-euclidean,GraphGuided,0.687046,1832
gist-960-euclidean,GraphGuided,0.716282,1396
gist-960-euclidean,GraphGuided,0.745518,993
gist-960-euclidean,GraphGuided,0.774754,690
gist-960-euclidean,GraphGuided,0.803990,498
gist-960-euclidean,GraphGuided,0.833226,381
gist-960-euclidean,GraphGuided,0.862462,277
gist-960-euclidean,GraphGuided,0.891698,204
gist-960-euclidean,GraphGuided,0.920934,139
gist-960-euclidean,GraphGuided,0.950170,97
gist-960-euclidean,GraphGuided,0.979406,69
gist-960-euclidean,GraphGuided,1.008642,47
gist-960-euclidean,GraphGuided,1.037878,39
gist-960-euclidean,GraphGuided,1.067114,30
gist-960-euclidean,GraphGuided,1.096350,20
gist-960-euclidean,GraphGuided,1.125586,10
gist-960-euclidean,GraphGuided,1.154822,10
gist-960-euclidean,GraphGuided,1.184058,7
gist-960-euclidean,GraphGuided,1.213294,9
gist-960-euclidean,GraphGuided,1.242530,6
gist-960-euclidean,GraphGuided,1.271766,1
gist-960-euclidean,GraphGuided,1.301002,2
gist-960-euclidean,GraphGuided,1.330238,1
gist-960-euclidean,GraphGuided,1.359474,2
gist-960-euclidean,GraphGuided,1.388710,1
gist-960-euclidean,GraphGuided,1.417946,0
gist-960-euclidean,GraphGuided,1.447182,3
fashion-mnist-784-euclidean,IntraVector,-252.450000,38224
fashion-mnist-784-euclidean,IntraVector,-247.350000,12738
fashion-mnist-784-euclidean,IntraVector,-242.250000,14570
fashion-mnist-784-euclidean,IntraVector,-237.150000,16804
fashion-mnist-784-euclidean,IntraVector,-232.050000,20170
fashion-mnist-784-euclidean,IntraVector,-226.950000,24077
fashion-mnist-784-euclidean,IntraVector,-221.850000,27721
fashion-mnist-784-euclidean,IntraVector,-216.750000,31504
fashion-mnist-784-euclidean,IntraVector,-211.650000,35416
fashion-mnist-784-euclidean,IntraVector,-206.550000,38569
fashion-mnist-784-euclidean,IntraVector,-201.450000,50567
fashion-mnist-784-euclidean,IntraVector,-196.350000,45069
fashion-mnist-784-euclidean,IntraVector,-191.250000,48192
fashion-mnist-784-euclidean,IntraVector,-186.150000,51563
fashion-mnist-784-euclidean,IntraVector,-181.050000,54015
fashion-mnist-784-euclidean,IntraVector,-175.950000,56419
fashion-mnist-784-euclidean,IntraVector,-170.850000,58800
fashion-mnist-784-euclidean,IntraVector,-165.750000,62011
fashion-mnist-784-euclidean,IntraVector,-160.650000,64170
fashion-mnist-784-euclidean,IntraVector,-155.550000,66709
fashion-mnist-784-euclidean,IntraVector,-150.450000,84249
fashion-mnist-784-euclidean,IntraVector,-145.350000,73783
fashion-mnist-784-euclidean,IntraVector,-140.250000,76523
fashion-mnist-784-euclidean,IntraVector,-135.150000,79592
fashion-mnist-784-euclidean,IntraVector,-130.050000,83512
fashion-mnist-784-euclidean,IntraVector,-124.950000,86245
fashion-mnist-784-euclidean,IntraVector,-119.850000,90989
fashion-mnist-784-euclidean,IntraVector,-114.750000,95929
fashion-mnist-784-euclidean,IntraVector,-109.650000,99768
fashion-mnist-784-euclidean,IntraVector,-104.550000,105397
fashion-mnist-784-euclidean,IntraVector,-99.450000,134571
fashion-mnist-784-euclidean,IntraVector,-94.350000,118850
fashion-mnist-784-euclidean,IntraVector,-89.250000,125486
fashion-mnist-784-euclidean,IntraVector,-84.150000,133229
fashion-mnist-784-euclidean,IntraVector,-79.050000,143064
fashion-mnist-784-euclidean,IntraVector,-73.950000,154446
fashion-mnist-784-euclidean,IntraVector,-68.850000,167311
fashion-mnist-784-euclidean,IntraVector,-63.750000,182943
fashion-mnist-784-euclidean,IntraVector,-58.650000,202357
fashion-mnist-784-euclidean,IntraVector,-53.550000,225294
fashion-mnist-784-euclidean,IntraVector,-48.450000,310550
fashion-mnist-784-euclidean,IntraVector,-43.350000,301360
fashion-mnist-784-euclidean,IntraVector,-38.250000,351103
fashion-mnist-784-euclidean,IntraVector,-33.150000,413045
fashion-mnist-784-euclidean,IntraVector,-28.050000,494158
fashion-mnist-784-euclidean,IntraVector,-22.950000,609404
fashion-mnist-784-euclidean,IntraVector,-17.850000,773197
fashion-mnist-784-euclidean,IntraVector,-12.750000,1024243
fashion-mnist-784-euclidean,IntraVector,-7.650000,1545658
fashion-mnist-784-euclidean,IntraVector,-2.550000,3386086
fashion-mnist-784-euclidean,IntraVector,2.550000,25436444
fashion-mnist-784-euclidean,IntraVector,7.650000,1530866
fashion-mnist-784-euclidean,IntraVector,12.750000,1020361
fashion-mnist-784-euclidean,IntraVector,17.850000,769103
fashion-mnist-784-euclidean,IntraVector,22.950000,606102
fashion-mnist-784-euclidean,IntraVector,28.050000,492547
fashion-mnist-784-euclidean,IntraVector,33.150000,411702
fashion-mnist-784-euclidean,IntraVector,38.250000,348323
fashion-mnist-784-euclidean,IntraVector,43.350000,296128
fashion-mnist-784-euclidean,IntraVector,48.450000,256210
fashion-mnist-784-euclidean,IntraVector,53.550000,269144
fashion-mnist-784-euclidean,IntraVector,58.650000,197847
fashion-mnist-784-euclidean,IntraVector,63.750000,178940
fashion-mnist-784-euclidean,IntraVector,68.850000,164887
fashion-mnist-784-euclidean,IntraVector,73.950000,153415
fashion-mnist-784-euclidean,IntraVector,79.050000,142709
fashion-mnist-784-euclidean,IntraVector,84.150000,133471
fashion-mnist-784-euclidean,IntraVector,89.250000,125707
fashion-mnist-784-euclidean,IntraVector,94.350000,119003
fashion-mnist-784-euclidean,IntraVector,99.450000,112550
fashion-mnist-784-euclidean,IntraVector,104.550000,128279
fashion-mnist-784-euclidean,IntraVector,109.650000,100957
fashion-mnist-784-euclidean,IntraVector,114.750000,96231
fashion-mnist-784-euclidean,IntraVector,119.850000,91336
fashion-mnist-784-euclidean,IntraVector,124.950000,86603
fashion-mnist-784-euclidean,IntraVector,130.050000,84414
fashion-mnist-784-euclidean,IntraVector,135.150000,80261
fashion-mnist-784-euclidean,IntraVector,140.250000,76717
fashion-mnist-784-euclidean,IntraVector,145.350000,73255
fashion-mnist-784-euclidean,IntraVector,150.450000,69729
fashion-mnist-784-euclidean,IntraVector,155.550000,80910
fashion-mnist-784-euclidean,IntraVector,160.650000,63790
fashion-mnist-784-euclidean,IntraVector,165.750000,60961
fashion-mnist-784-euclidean,IntraVector,170.850000,58656
fashion-mnist-784-euclidean,IntraVector,175.950000,55969
fashion-mnist-784-euclidean,IntraVector,181.050000,52945
fashion-mnist-784-euclidean,IntraVector,186.150000,50953
fashion-mnist-784-euclidean,IntraVector,191.250000,47582
fashion-mnist-784-euclidean,IntraVector,196.350000,45124
fashion-mnist-784-euclidean,IntraVector,201.450000,42343
fashion-mnist-784-euclidean,IntraVector,206.550000,46763
fashion-mnist-784-euclidean,IntraVector,211.650000,35169
fashion-mnist-784-euclidean,IntraVector,216.750000,32053
fashion-mnist-784-euclidean,IntraVector,221.850000,28634
fashion-mnist-784-euclidean,IntraVector,226.950000,24940
fashion-mnist-784-euclidean,IntraVector,232.050000,21117
fashion-mnist-784-euclidean,IntraVector,237.150000,17886
fashion-mnist-784-euclidean,IntraVector,242.250000,15337
fashion-mnist-784-euclidean,IntraVector,247.350000,13552
fashion-mnist-784-euclidean,IntraVector,252.450000,42425
fashion-mnist-784-euclidean,IDOrder,-252.450000,222506
fashion-mnist-784-euclidean,IDOrder,-247.350000,97099
fashion-mnist-784-euclidean,IDOrder,-242.250000,132420
fashion-mnist-784-euclidean,IDOrder,-237.150000,178435
fashion-mnist-784-euclidean,IDOrder,-232.050000,225495
fashion-mnist-784-euclidean,IDOrder,-226.950000,260346
fashion-mnist-784-euclidean,IDOrder,-221.850000,277355
fashion-mnist-784-euclidean,IDOrder,-216.750000,284300
fashion-mnist-784-euclidean,IDOrder,-211.650000,284040
fashion-mnist-784-euclidean,IDOrder,-206.550000,280643
fashion-mnist-784-euclidean,IDOrder,-201.450000,328685
fashion-mnist-784-euclidean,IDOrder,-196.350000,269537
fashion-mnist-784-euclidean,IDOrder,-191.250000,263007
fashion-mnist-784-euclidean,IDOrder,-186.150000,257494
fashion-mnist-784-euclidean,IDOrder,-181.050000,252990
fashion-mnist-784-euclidean,IDOrder,-175.950000,249791
fashion-mnist-784-euclidean,IDOrder,-170.850000,246125
fashion-mnist-784-euclidean,IDOrder,-165.750000,246859
fashion-mnist-784-euclidean,IDOrder,-160.650000,245904
fashion-mnist-784-euclidean,IDOrder,-155.550000,247236
fashion-mnist-784-euclidean,IDOrder,-150.450000,294235
fashion-mnist-784-euclidean,IDOrder,-145.350000,249408
fashion-mnist-784-euclidean,IDOrder,-140.250000,250854
fashion-mnist-784-euclidean,IDOrder,-135.150000,253727
fashion-mnist-784-euclidean,IDOrder,-130.050000,258979
fashion-mnist-784-euclidean,IDOrder,-124.950000,258168
fashion-mnist-784-euclidean,IDOrder,-119.850000,264546
fashion-mnist-784-euclidean,IDOrder,-114.750000,268518
fashion-mnist-784-euclidean,IDOrder,-109.650000,273015
fashion-mnist-784-euclidean,IDOrder,-104.550000,276909
fashion-mnist-784-euclidean,IDOrder,-99.450000,338174
fashion-mnist-784-euclidean,IDOrder,-94.350000,288553
fashion-mnist-784-euclidean,IDOrder,-89.250000,295231
fashion-mnist-784-euclidean,IDOrder,-84.150000,300148
fashion-mnist-784-euclidean,IDOrder,-79.050000,310266
fashion-mnist-784-euclidean,IDOrder,-73.950000,317153
fashion-mnist-784-euclidean,IDOrder,-68.850000,325334
fashion-mnist-784-euclidean,IDOrder,-63.750000,334854
fashion-mnist-784-euclidean,IDOrder,-58.650000,345513
fashion-mnist-784-euclidean,IDOrder,-53.550000,354896
fashion-mnist-784-euclidean,IDOrder,-48.450000,439008
fashion-mnist-784-euclidean,IDOrder,-43.350000,380232
fashion-mnist-784-euclidean,IDOrder,-38.250000,392935
fashion-mnist-784-euclidean,IDOrder,-33.150000,404624
fashion-mnist-784-euclidean,IDOrder,-28.050000,416093
fashion-mnist-784-euclidean,IDOrder,-22.950000,428058
fashion-mnist-784-euclidean,IDOrder,-17.850000,441512
fashion-mnist-784-euclidean,IDOrder,-12.750000,453724
fashion-mnist-784-euclidean,IDOrder,-7.650000,494771
fashion-mnist-784-euclidean,IDOrder,-2.550000,1014481
fashion-mnist-784-euclidean,IDOrder,2.550000,16907363
fashion-mnist-784-euclidean,IDOrder,7.650000,493769
fashion-mnist-784-euclidean,IDOrder,12.750000,452789
fashion-mnist-784-euclidean,IDOrder,17.850000,443447
fashion-mnist-784-euclidean,IDOrder,22.950000,431263
fashion-mnist-784-euclidean,IDOrder,28.050000,418967
fashion-mnist-784-euclidean,IDOrder,33.150000,406328
fashion-mnist-784-euclidean,IDOrder,38.250000,392263
fashion-mnist-784-euclidean,IDOrder,43.350000,377577
fashion-mnist-784-euclidean,IDOrder,48.450000,364548
fashion-mnist-784-euclidean,IDOrder,53.550000,427761
fashion-mnist-784-euclidean,IDOrder,58.650000,343048
fashion-mnist-784-euclidean,IDOrder,63.750000,332113
fashion-mnist-784-euclidean,IDOrder,68.850000,323766
fashion-mnist-784-euclidean,IDOrder,73.950000,315016
fashion-mnist-784-euclidean,IDOrder,79.050000,309309
fashion-mnist-784-euclidean,IDOrder,84.150000,301599
fashion-mnist-784-euclidean,IDOrder,89.250000,295401
fashion-mnist-784-euclidean,IDOrder,94.350000,289302
fashion-mnist-784-euclidean,IDOrder,99.450000,280372
fashion-mnist-784-euclidean,IDOrder,104.550000,335426
fashion-mnist-784-euclidean,IDOrder,109.650000,273598
fashion-mnist-784-euclidean,IDOrder,114.750000,269318
fashion-mnist-784-euclidean,IDOrder,119.850000,265466
fashion-mnist-784-euclidean,IDOrder,124.950000,258320
fashion-mnist-784-euclidean,IDOrder,130.050000,259175
fashion-mnist-784-euclidean,IDOrder,135.150000,254573
fashion-mnist-784-euclidean,IDOrder,140.250000,251396
fashion-mnist-784-euclidean,IDOrder,145.350000,249142
fashion-mnist-784-euclidean,IDOrder,150.450000,244120
fashion-mnist-784-euclidean,IDOrder,155.550000,298307
fashion-mnist-784-euclidean,IDOrder,160.650000,245233
fashion-mnist-784-euclidean,IDOrder,165.750000,245728
fashion-mnist-784-euclidean,IDOrder,170.850000,246133
fashion-mnist-784-euclidean,IDOrder,175.950000,248649
fashion-mnist-784-euclidean,IDOrder,181.050000,252815
fashion-mnist-784-euclidean,IDOrder,186.150000,258090
fashion-mnist-784-euclidean,IDOrder,191.250000,262098
fashion-mnist-784-euclidean,IDOrder,196.350000,268379
fashion-mnist-784-euclidean,IDOrder,201.450000,271103
fashion-mnist-784-euclidean,IDOrder,206.550000,337547
fashion-mnist-784-euclidean,IDOrder,211.650000,282681
fashion-mnist-784-euclidean,IDOrder,216.750000,283743
fashion-mnist-784-euclidean,IDOrder,221.850000,276551
fashion-mnist-784-euclidean,IDOrder,226.950000,261214
fashion-mnist-784-euclidean,IDOrder,232.050000,225849
fashion-mnist-784-euclidean,IDOrder,237.150000,179593
fashion-mnist-784-euclidean,IDOrder,242.250000,132523
fashion-mnist-784-euclidean,IDOrder,247.350000,98514
fashion-mnist-784-euclidean,IDOrder,252.450000,223745
fashion-mnist-784-euclidean,GraphGuided,-252.450000,217828
fashion-mnist-784-euclidean,GraphGuided,-247.350000,94910
fashion-mnist-784-euclidean,GraphGuided,-242.250000,129549
fashion-mnist-784-euclidean,GraphGuided,-237.150000,174168
fashion-mnist-784-euclidean,GraphGuided,-232.050000,217700
fashion-mnist-784-euclidean,GraphGuided,-226.950000,249797
fashion-mnist-784-euclidean,GraphGuided,-221.850000,266729
fashion-mnist-784-euclidean,GraphGuided,-216.750000,275389
fashion-mnist-784-euclidean,GraphGuided,-211.650000,276368
fashion-mnist-784-euclidean,GraphGuided,-206.550000,277908
fashion-mnist-784-euclidean,GraphGuided,-201.450000,325111
fashion-mnist-784-euclidean,GraphGuided,-196.350000,264961
fashion-mnist-784-euclidean,GraphGuided,-191.250000,257096
fashion-mnist-784-euclidean,GraphGuided,-186.150000,254288
fashion-mnist-784-euclidean,GraphGuided,-181.050000,250871
fashion-mnist-784-euclidean,GraphGuided,-175.950000,248290
fashion-mnist-784-euclidean,GraphGuided,-170.850000,245621
fashion-mnist-784-euclidean,GraphGuided,-165.750000,245166
fashion-mnist-784-euclidean,GraphGuided,-160.650000,242542
fashion-mnist-784-euclidean,GraphGuided,-155.550000,243253
fashion-mnist-784-euclidean,GraphGuided,-150.450000,290714
fashion-mnist-784-euclidean,GraphGuided,-145.350000,243845
